course_id,num_courses,tournament_name,course_name,lat,long
26,1,"100th Open de France","Le Golf National",48.7522,2.0851
64,1,"AAM Scottish Open","Castle Stuart",57.528,-4.106
16,3,"Alfred Dunhill Links Championship","St. Andrews",56.343,-2.803
17,3,"Alfred Dunhill Links Championship",Carnoustie,56.497,-2.717
18,3,"Alfred Dunhill Links Championship",Kingsbarn,56.3,-2.65
63,1,"BMW International"," Golfclub MÃ¼nchen Eichenried",48.276,11.775
95,1,"British Masters","The Grove",51.677325,-0.43632
5,1,"Real Czech Masters","The Albatross",49.995,14.201
48,1,"Dp World Tour Championship, Dubai","The Earth Course, Jumeirah Golf Estates",25.022,55.199
12,1,"Italian Open","Golf Club Milano",45.616,9.292
69,1,"KLM Open","The Dutch",51.848,5.021
4,1,"Made In Denmark","Himmerland ",56.873,9.396
47,1,"Nedbank Golf Challenge","Gary Player Country Club",25.339,27.106
13,1,"Porsche European Open","Heritage Course London Golf Club",48.409,13.193
21,1,"Portugal Masters","Oceanico Victoria Golf Course",37.103,8.143
96,1,"Turkish Airlines Open","Montgomerie Maxx Royal",36.851,31.069
